Year,Category,Film
2025,Picture,Anora
2025,Director,Anora
2025,Actor,The Brutalist
2025,Actress,Anora
2025,SuppActor,A Real Pain
2025,SuppActress,Emilia Pérez
2024,Picture,Oppenheimer
2024,Director,Oppenheimer
2024,Actor,Oppenheimer
2024,Actress,Poor Things
2024,SuppActor,Oppenheimer
2024,SuppActress,The Holdovers
2023,Picture,Everything Everywhere All at Once
2023,Director,Everything Everywhere All at Once
2023,Actor,The Whale
2023,Actress,Everything Everywhere All at Once
2023,SuppActor,Everything Everywhere All at Once
2023,SuppActress,Everything Everywhere All at Once
2022,Picture,CODA
2022,Director,The Power of the Dog
2022,Actor,King Richard
2022,Actress,The Eyes of Tammy Faye
2022,SuppActor,CODA
2022,SuppActress,West Side Story
2021,Picture,Nomadland
2021,Director,Nomadland
2021,Actor,The Father
2021,Actress,Nomadland
2021,SuppActor,Judas and the Black Messiah
2021,SuppActress,Minari
2020,Picture,Parasite
2020,Director,Parasite
2020,Actor,Joker
2020,Actress,Judy
2020,SuppActor,Once upon a Time...in Hollywood
2020,SuppActress,Marriage Story
2019,Picture,Green Book
2019,Director,Roma
2019,Actor,Bohemian Rhapsody
2019,Actress,The Favourite
2019,SuppActor,Green Book
2019,SuppActress,If Beale Street Could Talk
2018,Picture,The Shape of Water
2018,Director,The Shape of Water
2018,Actor,Darkest Hour
2018,Actress,"Three Billboards outside Ebbing, Missouri"
2018,SuppActor,"Three Billboards outside Ebbing, Missouri"
2018,SuppActress,"I, Tonya"
2017,Picture,Moonlight
2017,Director,La La Land
2017,Actor,Manchester by the Sea
2017,Actress,La La Land
2017,SuppActor,Moonlight
2017,SuppActress,Fences
2016,Picture,Spotlight
2016,Director,The Revenant
2016,Actor,The Revenant
2016,Actress,Room
2016,SuppActor,Bridge of Spies
2016,SuppActress,The Danish Girl
2015,Picture,Birdman or (The Unexpected Virtue of Ignorance)
2015,Director,Birdman or (The Unexpected Virtue of Ignorance)
2015,Actor,The Theory of Everything
2015,Actress,Still Alice
2015,SuppActor,Whiplash
2015,SuppActress,Boyhood
2014,Picture,12 Years a Slave
2014,Director,Gravity
2014,Actor,Dallas Buyers Club
2014,Actress,Blue Jasmine
2014,SuppActor,Dallas Buyers Club
2014,SuppActress,12 Years a Slave
2013,Picture,Argo
2013,Director,Life of Pi
2013,Actor,Lincoln
2013,Actress,Silver Linings Playbook
2013,SuppActor,Django Unchained
2013,SuppActress,Les Misérables
2012,Picture,The Artist
2012,Director,The Artist
2012,Actor,The Artist
2012,Actress,The Iron Lady
2012,SuppActor,Beginners
2012,SuppActress,The Help
2011,Picture,The King's Speech
2011,Director,The King's Speech
2011,Actor,The King's Speech
2011,Actress,Black Swan
2011,SuppActor,The Fighter
2011,SuppActress,The Fighter
2010,Picture,The Hurt Locker
2010,Director,The Hurt Locker
2010,Actor,Crazy Heart
2010,Actress,The Blind Side
2010,SuppActor,Inglourious Basterds
2010,SuppActress,Precious: Based on the Novel 'Push' by Sapphire
2009,Picture,Slumdog Millionaire
2009,Director,Slumdog Millionaire
2009,Actor,Milk
2009,Actress,The Reader
2009,SuppActor,The Dark Knight
2009,SuppActress,Vicky Cristina Barcelona
2008,Picture,No Country for Old Men
2008,Director,No Country for Old Men
2008,Actor,There Will Be Blood
2008,Actress,La Vie en Rose
2008,SuppActor,No Country for Old Men
2008,SuppActress,Michael Clayton
2007,Picture,The Departed
2007,Director,The Departed
2007,Actor,The Last King of Scotland
2007,Actress,The Queen
2007,SuppActor,Little Miss Sunshine
2007,SuppActress,Dreamgirls
2006,Picture,Crash
2006,Director,Brokeback Mountain
2006,Actor,Capote
2006,Actress,Walk the Line
2006,SuppActor,Syriana
2006,SuppActress,The Constant Gardener
2005,Picture,Million Dollar Baby
2005,Director,Million Dollar Baby
2005,Actor,Ray
2005,Actress,Million Dollar Baby
2005,SuppActor,Million Dollar Baby
2005,SuppActress,The Aviator
2004,Picture,The Lord of the Rings: The Return of the King
