Category,Nominee,Film,Odds,Implied_Prob,True_Prob
Picture,One Battle After Another,One Battle After Another,1.3158,0.7599939200486395,0.7149566786864368
Picture,Sinners,Sinners,7.0423,0.1419990628061855,0.13358419803411012
Picture,Hamnet,Hamnet,10.0,0.1,0.09407399978156136
Picture,Marty Supreme,Marty Supreme,41.6667,0.02399998080001536,0.022577741885381218
Picture,Sentimental Value,Sentimental Value,111.1111,0.009000000900000091,0.008466660827006606
Picture,Train Dreams,Train Dreams,142.8571,0.00700000210000063,0.006585181960263883
Picture,Bugonia,Bugonia,166.6667,0.00599999880000024,0.005644438858005909
Picture,Frankenstein,Frankenstein,200.0,0.005,0.004703699989078068
Picture,F1,F1,200.0,0.005,0.004703699989078068
Picture,The Secret Agent,The Secret Agent,200.0,0.005,0.004703699989078068
Director,Paul Thomas Anderson,One Battle After Another,1.087,0.9199632014719411,0.8940680520856791
Director,Ryan Coogler,Sinners,12.8205,0.07800007800007801,0.07580452966866606
Director,Chloe Zhao,Hamnet,58.8235,0.01700000850000425,0.016521491795237164
Director,Josh Safdie,Marty Supreme,125.0,0.008,0.007774815780937066
Director,Joachim Trier,Sentimental Value,166.6667,0.00599999880000024,0.005831110669480665
Actor,Timothee Chalamet,Marty Supreme,1.28205128,0.7800000012480001,0.7594934858526785
Actor,Leonardo DiCaprio,One Battle After Another,12.5,0.08,0.07789676765512707
Actor,Michael B. Jordan,Sinners,12.6582,0.07900017380038235,0.07692322729053801
Actor,Wagner Moura,The Secret Agent,20.8333,0.04800007680012288,0.04673813537409284
Actor,Ethan Hawke,Blue Moon,25.0,0.04,0.038948383827563535
Actress,Jessie Buckley,Hamnet,1.087,0.9199632014719411,0.9019573121342904
Actress,Rose Bryne,If I Had Legs I'd Kick You,17.2414,0.05799993040008353,0.05686473246313953
Actress,Emma Stone,Bugonia,55.5556,0.01799998560001152,0.017647682651073405
Actress,Renate Reinsve,Sentimental Value,58.8235,0.01700000850000425,0.016667277504568305
Actress,Kate Hudson,Song Sung Blue,142.8571,0.00700000210000063,0.00686299524692839
SuppActor,Stellan Skarsgard,Sentimental Value,14.2857,0.07000007000007,0.18181909116250214
SuppActor,Sean Penn,One Battle After Another,5.8824,0.16999864001087991,0.4415566759520191
SuppActor,Jacob Elordi,Frankenstein,17.5439,0.05699986890030153,0.1480521999452891
SuppActor,Benicio Del Toro,One Battle After Another,16.6667,0.05999988000024,0.15584446774827393
SuppActor,Delroy Lindo,Sinners,35.714285,0.028000000560000012,0.0727275651919157
SuppActress,Elle Fanning,Sentimental Value,47.6197,0.020999712303941435,0.020368796533290216
SuppActress,Inga Ibsdotter Lilleaas,Sentimental Value,19.6079,0.05099985210042891,0.04946761153801886
SuppActress,Amy Madigan,Weapons,4.6729,0.21399987160007702,0.20757045523685935
SuppActress,Wunmi Mosaku,Sinners,28.5714,0.035000035000035,0.03394849325816446
SuppActress,Teyana Taylor,One Battle After Another,1.4085,0.7099751508697195,0.688644643433667
